date,close,high,low,next_three_day_high,next_three_day_low,next_three_day_return
2008-04-18,3272.5,3390.55,3248.53,3516.43,3122.39,0.07453934300993119
2008-04-21,3267.55,3516.43,3223.89,3781.48,3122.39,0.15728297960245438
2008-04-22,3296.28,3301.55,3122.39,3915.84,3245.3,0.18795733372164983
2008-04-23,3453.73,3467.43,3245.3,3915.84,3659.73,0.13380026811592108
2008-04-24,3774.5,3781.48,3659.73,3915.84,3702.02,0.03744601934031001
2008-04-25,3803.07,3915.84,3737.98,3970.57,3702.02,0.04404336496567247
2008-04-28,3729.15,3791.77,3711.18,4061.47,3702.02,0.08911414129225151
2008-04-29,3776.94,3797.53,3702.02,4075.57,3793.85,0.07906665183984922
2008-04-30,3959.12,3970.57,3793.85,4075.57,3821.11,-0.03485875649134145
2008-05-05,4055.78,4061.47,3972.56,4075.57,3761.28,-0.072612419805808
2008-05-06,4010.89,4075.57,3961.34,4042.41,3761.28,-0.06223307046565717
2008-05-07,3821.32,4042.41,3821.11,3973.06,3761.28,0.039708791726419085
2008-05-08,3925.04,3926.0,3761.28,3973.06,3766.58,-0.04037156309235066
2008-05-09,3878.92,3973.06,3806.52,3975.8,3766.58,-0.02896166974312441
2008-05-12,3904.92,3952.79,3766.58,4038.85,3778.72,0.03429775770054184
2008-05-13,3851.69,3923.17,3778.72,4038.85,3843.47,0.04859165716867138
2008-05-14,3975.78,3975.8,3843.47,4038.85,3865.5,-0.027737953307275603
2008-05-15,3948.09,4038.85,3948.06,3982.22,3698.55,-0.06320524608101638
2008-05-16,3936.12,3982.22,3882.89,3946.44,3591.57,-0.08753544099265259
2008-05-19,3914.07,3936.28,3865.5,3946.44,3591.57,-0.08239505169810453
2008-05-20,3710.82,3946.44,3698.55,3801.07,3591.57,-0.03213575436156968
2008-05-21,3783.05,3801.07,3591.57,3783.85,3555.76,-0.06008115145187083
2008-05-22,3711.44,3783.85,3704.16,3741.06,3533.47,-0.04795173840881174
2008-05-23,3675.15,3741.06,3629.01,3698.0,3533.47,-0.03855080745003613
2008-05-26,3559.22,3643.01,3555.76,3698.0,3533.47,0.03899168919032828
2008-05-27,3576.2,3594.66,3533.47,3698.0,3552.66,0.034058497846876624
2008-05-28,3676.23,3698.0,3561.73,3677.02,3552.66,-0.03361323965040277
2008-05-29,3580.87,3677.02,3578.73,3650.48,3552.66,0.019439409975788042
2008-05-30,3611.33,3620.22,3552.66,3650.48,3513.64,-0.027050975679320376
